FirstName,LastName,Mobile,Birthday,Street,City
Geir,Bjerke,97756218,1969-08-28,Nedre Langgate 31,Skien
Kristin,Amundsen,91937909,1995-11-23,Prestegardsveien 75,Horten
Kari,Mathisen,46643594,1960-01-26,Torggata 49,Larvik
Julie,Hagen,91459815,1979-10-19,Nedre Langgate 94,Moss
Henrik,Henriksen,93295370,1952-04-16,Parkveien 41,Sandefjord
Tor,Karlsen,45101031,2004-03-28,Skolegata 28,Fredrikstad
Magnus,Dahl,42797145,1972-12-02,Torggata 21,Bodo
Thea,Pedersen,43484493,1975-05-21,Storgata 77,Lillehammer
Henrik,Jacobsen,41263273,1991-01-23,Sondre gate 94,Bergen
Roar,Mathisen,40758228,1971-10-28,Granveien 61,Trondheim
Havard,Andreassen,48955861,2004-12-01,Sondre gate 64,Tromso
Petter,Vik,96876748,1979-06-13,Sondre gate 18,Tromso
Maja,Kristoffersen,97068466,1960-06-06,Torggata 22,Bergen
Ingrid,Hansen,40762016,1989-10-09,Granveien 65,Stavanger
Solveig,Johnsen,47962628,2003-06-01,Jernbanegata 8,Molde
Ola,Bjerke,99704031,1984-05-07,Grensen 46,Fredrikstad
Kjell,Amundsen,41363382,1978-10-17,Ekeveien 15,Moss
Arne,Strand,44732425,1996-05-25,Grensen 34,Skien
Anne,Lie,96853789,1978-06-06,Kirkegata 95,Hamar
Magnus,Hansen,90468543,1959-05-03,Ekeveien 7,Alesund
Arne,Strand,46848162,1960-10-19,Ekeveien 85,Oslo
Vegard,Haugen,49418338,1957-04-23,Elvegata 23,Tonsberg
Jonas,Mathisen,95058876,1984-08-28,Torggata 24,Bodo
Hanne,Dahl,45633967,1967-04-26,Ekeveien 16,Bodo
Tone,Halvorsen,43354964,1964-06-01,Prestegardsveien 23,Tromso
Petter,Andersen,44232985,1953-11-12,Ekeveien 67,Skien
Amalie,Larsen,99374090,1958-11-23,Havnegata 52,Trondheim
Roar,Bakke,97603909,1984-12-14,Fjellveien 85,Tonsberg
Rune,Lund,97137332,2005-06-08,Sjogata 84,Kristiansand
Thea,Mathisen,92778747,1956-10-07,Havnegata 93,Kristiansand
Magnus,Bjerke,99518934,1985-12-11,Havnegata 24,Trondheim
Tor,Holm,42606521,1960-04-22,Torggata 14,Trondheim
Nora,Solberg,92213030,1976-02-03,Solbakken 81,Molde
Magnus,Ruud,97815196,1991-04-20,Ekeveien 82,Drammen
Kristin,Moen,90778466,1978-06-14,Torggata 7,Skien
Anne,Hagen,44917332,1977-11-13,Fjellveien 86,Stavanger
Line,Nilsen,97492386,1971-05-02,Sondre gate 44,Tonsberg
Sindre,Bakke,41229596,2006-05-03,Parkveien 1,Hamar
Sindre,Karlsen,49453946,1954-06-05,Fjellveien 84,Tromso
Julie,Larsen,43242123,1997-02-25,Elvegata 21,Trondheim
Rune,Johansen,40231899,1968-06-08,Solbakken 17,Molde
Malin,Hagen,45501629,1973-02-21,Bergveien 26,Kristiansand
Magnus,Jensen,94369869,1960-04-22,Havnegata 13,Stavanger
Thea,Andreassen,99033217,1999-02-04,Osterhaugs gate 5,Molde
Andreas,Olsen,43878032,1990-09-17,Granveien 47,Sandefjord
Silje,Berg,44572279,1962-05-02,Prestegardsveien 68,Moss
Camilla,Haugen,44571537,1962-02-12,Prestegardsveien 19,Sandefjord
Julie,Aas,46786925,1965-03-22,Torggata 20,Moss
Emilie,Strand,48520935,1963-01-12,Jernbanegata 79,Drammen
Jonas,Ellingsen,41836454,1969-02-16,Skolegata 21,Kristiansand
Thea,Pedersen,41091361,1961-05-04,Nedre Langgate 57,Molde
Malin,Ruud,93183498,1978-02-15,Bjorkeveien 6,Hamar
Linnea,Johnsen,45815020,1996-04-24,Fjellveien 38,Sandefjord
Emilie,Haugen,43724889,1971-01-02,Elvegata 29,Molde
Sindre,Lie,98171526,1953-10-11,Elvegata 61,Sandefjord
Ola,Eriksen,46611037,1991-10-21,Nordre gate 76,Kristiansand
Ola,Kristiansen,40363245,1998-03-22,Havnegata 95,Tromso
Espen,Ellingsen,41220826,1961-04-23,Ovre Langgate 12,Kristiansand
Camilla,Amundsen,42504912,1972-12-17,Jernbanegata 73,Tromso
Sara,Ruud,95782834,1999-06-02,Parkveien 47,Molde
Ida,Halvorsen,95872234,1990-06-07,Sjogata 26,Halden
Morten,Andreassen,93585182,1999-10-27,Fjellveien 25,Bergen
Tor,Strand,47725328,1970-10-15,Bergveien 49,Skien
Arne,Bjerke,46353701,1967-06-17,Prestegardsveien 87,Skien
Silje,Nygard,47103797,1952-03-28,Prestegardsveien 8,Trondheim
Vegard,Bakken,98016566,1970-01-25,Ovre Langgate 66,Trondheim
Tone,Ruud,92605584,1993-03-18,Parkveien 45,Trondheim
Vegard,Nygard,48281838,1956-03-26,Furuveien 11,Molde
Hanne,Mathisen,91963876,1974-10-15,Rosenlundgata 5,Fredrikstad
Stian,Dahl,92645701,1964-07-11,Ovre Langgate 16,Bergen
Vegard,Sandvik,41748026,1990-07-20,Ekeveien 1,Horten
Line,Henriksen,97050167,1961-10-06,Lindeveien 1,Alesund
Ida,Nilsen,92101663,1987-10-25,Jernbanegata 7,Bergen
Kristin,Sandvik,96654897,1971-04-13,Bergveien 55,Tromso
Malin,Halvorsen,49448045,1971-07-19,Prestegardsveien 46,Lillehammer
Linnea,Bjerke,45976029,1998-04-09,Ovre Langgate 34,Tonsberg
Henrik,Henriksen,49314200,2003-02-13,Nedre Langgate 33,Horten
Malin,Jensen,95513730,2000-12-19,Prestegardsveien 20,Bergen
Sara,Ellingsen,48464635,1960-04-28,Nedre Langgate 9,Kristiansand
Elin,Haugen,93922967,1985-12-08,Storgata 85,Trondheim
Fredrik,Dahl,99661490,2001-03-12,Fjellveien 28,Hamar
Emilie,Berg,97505656,1983-04-19,Bergveien 83,Bodo
Nora,Amundsen,97011472,1970-03-22,Granveien 55,Bodo
Emilie,Dahl,43433696,1963-03-23,Fjellveien 60,Trondheim
Roar,Andersen,46513556,1964-01-14,Jernbanegata 72,Molde
Andreas,Andersen,41779693,2005-04-03,Havnegata 75,Fredrikstad
Line,Kristoffersen,93244163,1973-05-24,Skolegata 78,Trondheim
Kjell,Jacobsen,47932318,1993-01-06,Grensen 87,Lillehammer
Roar,Jensen,45600266,1971-03-13,Skolegata 19,Sandefjord
Nils,Hansen,40596355,2002-05-13,Nordre gate 6,Moss
Hanne,Kristiansen,45962660,2005-04-15,Ovre Langgate 48,Sandefjord
Hedda,Solberg,98432523,1988-02-09,Elvegata 55,Stavanger
Astrid,Karlsen,47301762,1956-06-08,Bjorkeveien 77,Hamar
Bjorn,Dahl,97013754,1999-03-18,Nedre Langgate 14,Alesund
Nora,Kristiansen,99249976,1997-06-04,Solbakken 72,Kristiansand
Hedda,Jensen,46265772,1984-08-18,Grensen 6,Larvik
Kristin,Johnsen,42061735,1978-04-15,Skolegata 23,Tromso
Morten,Berg,42252554,1963-10-23,Nedre Langgate 65,Molde
Espen,Henriksen,91049219,2004-02-17,Grensen 71,Alesund
